meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,153
1,0.0,0.0,40,12554,2462
2,0.0025,0.0025,65,12554,5816
3,0.0025,0.0,96,12554,8940
4,0.005,0.0025,133,12554,11368
5,0.01,0.01,175,12554,13347
6,0.01,0.0075,221,12554,17272
7,0.015,0.0125,275,12554,22134
8,0.0125,0.0075,338,12554,27320
9,0.0275,0.025,411,12554,32536
10,0.035,0.025,495,12554,36872
11,0.0375,0.0225,587,12554,41751
12,0.04,0.025,689,12554,46504
13,0.0475,0.03,800,12554,50721
14,0.05,0.04,919,12554,55188
15,0.0525,0.04,1047,12554,59442
16,0.055,0.0375,1183,12554,63743
17,0.055,0.0375,1328,12554,67821
18,0.0575,0.0425,1480,12554,71988
19,0.0575,0.0375,1641,12554,76384
20,0.0575,0.0325,1810,12554,80548
21,0.055,0.04,1987,12554,84796
22,0.065,0.0575,2173,12554,89116
23,0.0675,0.0525,2367,12554,93270
24,0.07,0.0525,2563,12554,97518
25,0.07,0.06,2759,12554,101740
26,0.07,0.0625,2955,12554,106096
27,0.07,0.055,3151,12554,110189
28,0.07,0.055,3347,12554,114303
29,0.07,0.06,3543,12554,118479
30,0.0725,0.065,3739,12554,122546
31,0.0725,0.06,3935,12554,126887
32,0.075,0.055,4131,12554,131021
33,0.075,0.0675,4327,12554,135369
34,0.08,0.0725,4523,12554,139324
35,0.08,0.0725,4719,12554,143369
36,0.0825,0.07,4915,12554,147609
37,0.0825,0.0725,5111,12554,151731
38,0.0825,0.07,5307,12554,156089
39,0.0825,0.0725,5503,12554,160241
40,0.0925,0.0875,5699,12554,164433
41,0.095,0.075,5895,12554,168586
42,0.1025,0.08,6091,12554,172750
43,0.1025,0.0875,6287,12554,176887
44,0.105,0.0825,6483,12554,181224
45,0.105,0.085,6679,12554,185345
46,0.105,0.0875,6875,12554,189569
47,0.105,0.085,7071,12554,193937
48,0.1075,0.095,7267,12554,198387
49,0.1075,0.0775,7463,12554,202755
50,0.1075,0.08,7659,12554,207060
51,0.105,0.0925,7855,12554,211484
52,0.105,0.0875,8051,12554,216018
53,0.105,0.0925,8247,12554,220521
54,0.105,0.095,8443,12554,225100
55,0.105,0.0875,8639,12554,229650
56,0.105,0.09,8835,12554,234117
57,0.105,0.0875,9031,12554,238799
58,0.105,0.0925,9227,12554,243415
59,0.105,0.0925,9423,12554,247955
60,0.1075,0.0975,9619,12554,252549
61,0.1075,0.0975,9815,12554,257095
62,0.105,0.0875,10011,12554,261633
63,0.105,0.09,10207,12554,265882
64,0.105,0.095,10403,12554,270579
65,0.1075,0.1,10599,12554,275347
66,0.11,0.0975,10795,12554,280014
67,0.11,0.0925,10991,12554,284589
68,0.1125,0.1,11187,12554,289099
69,0.1125,0.1,11383,12554,294016
70,0.1125,0.095,11579,12554,298882
71,0.1125,0.09,11775,12554,303764
72,0.1125,0.1025,11971,12554,308568
73,0.1125,0.0925,12167,12554,313449
74,0.1125,0.095,12363,12554,318276
75,0.1125,0.095,12559,12554,323070
76,0.1125,0.1,12755,12554,328021
77,0.1125,0.1075,12951,12554,332876
78,0.1125,0.1,13147,12554,337819
79,0.1125,0.105,13343,12554,342466
80,0.1125,0.0975,13539,12554,347356
81,0.1125,0.1,13735,12554,352294
82,0.1125,0.1075,13931,12554,357036
83,0.1125,0.105,14127,12554,361802
84,0.1125,0.105,14323,12554,366759
85,0.1125,0.105,14519,12554,371829
86,0.115,0.1125,14715,12554,376780
87,0.115,0.1075,14911,12554,381887
88,0.115,0.1075,15107,12554,386979
89,0.115,0.11,15303,12554,391840
90,0.115,0.1075,15499,12554,396823
91,0.115,0.1075,15695,12554,401950
92,0.115,0.105,15891,12554,407012
93,0.115,0.1075,16087,12554,412193
94,0.115,0.1075,16283,12554,417198
95,0.1175,0.11,16479,12554,422380
