task_id,n_human,n_codeit,dtw_mean_vs_mean,human_bootstrap_ci_lo,human_bootstrap_ci_hi,seed,condition
60c09cac,5,543,3.8828984504343107,2.7786779861227124,17.722496296296256,17,baseline
68b67ca3,10,604,4.4746902431228985,2.1017972774098395,9.299308017630237,17,baseline
e0fb7511,7,681,1.765764150379533,1.2869566331104392,3.0432238701469445,17,baseline
3194b014,10,434,0.3837261503928631,2.914612995397192e-13,2.877356902356871,17,baseline
d19f7514,4,500,2.9993686868687277,0.3986742424242401,23.98137626262628,17,baseline
7039b2d7,8,3,0.9654040404040392,0.3805555555555572,2.6168371212121344,17,baseline
e133d23d,6,348,2.8136924803591787,2.7282080059858735,3.2592452300785615,17,baseline
e345f17b,5,505,0.7837408740874389,0.65387288728867,1.8126362636264197,17,baseline
070dd51e,9,269,4.883675645342319,3.0021517255892167,11.843571548821581,17,baseline
d4b1c2b1,6,256,0.499573512906854,0.3918892630003761,0.8452497194163898,17,baseline
195ba7dc,3,385,5.0062850729517425,0.7986531986532077,20.545791245791193,17,baseline
66f2d22f,4,488,12.237463924963956,1.2721861471861087,46.74314574314564,17,baseline
f5aa3634,12,338,44.275541825221325,35.165548752648114,55.12394600591717,17,baseline
0c9aba6e,1,516,10.87668350168346,10.87668350168346,10.87668350168346,17,baseline
34b99a2b,1,64,45.39646464646466,45.39646464646466,45.39646464646466,17,baseline
506d28a5,3,474,0.5558922558923077,0.5558922558923076,1.5868686868686877,17,baseline
0c786b71,8,244,2.9313973063973204,0.318745396675088,16.957903251262632,17,baseline
84db8fc4,2,669,12.61702020202008,0.2573737373738507,49.257474747474525,17,baseline
929ab4e9,2,435,6.942164702581235,6.942164702581235,16.598309483726183,17,baseline
9a4bb226,7,701,1.3981149264076898,0.8259972754740562,5.644133520975991,17,baseline
59341089,9,405,0.9903666292555007,0.5957538346427769,3.3420680571143175,17,baseline
5d2a5c43,2,529,11.266615827461752,5.41414380095854,22.654443776135604,17,baseline
be03b35f,7,324,1.5974025974026218,0.3111201298701429,7.277777777777767,17,baseline
27f8ce4f,2,376,4.629938735927743,4.629938735927743,7.329091413212753,17,baseline
62ab2642,5,304,1.0640067340067012,0.6679107744107943,1.8683518518518851,17,baseline
e7639916,8,619,2.1982191206746204,1.4690385501345617,4.3020798676620196,17,baseline
e872b94a,6,401,0.44107744107748875,2.5618569765573085e-13,0.8383838383838816,17,baseline
ed98d772,3,99,3.3247287691732166,0.5880097268986065,13.044051627384974,17,baseline
833dafe3,9,141,2.0081939183501785,1.7362590751262577,7.033741166000283,17,baseline
84f2aca1,7,27,5.018907018907011,1.7830317830317854,25.21500721500723,17,baseline
00576224,5,545,1.2858781494866485,0.30418867574829733,9.142226353751584,17,baseline
12eac192,3,333,1.2067550505050595,1.2067550505050595,1.7370580808080676,17,baseline
48f8583b,6,131,2.2770503387787353,0.9499896080142998,10.558517791079534,17,baseline
19bb5feb,9,583,0.3929648110608352,0.38230191181872447,0.44147942643510196,17,baseline
f0df5ff0,7,98,3.3252012185345534,2.601360269360256,6.052140452140446,17,baseline
358ba94e,9,117,2.06024691358025,0.31211447811448456,7.447054994388332,17,baseline
f4081712,8,251,1.0265677609427608,0.2822771990740629,5.717046769781147,17,baseline
7953d61e,3,30,1.3080281986531972,0.6347853535353567,4.583175505050511,17,baseline
bc4146bd,5,16,2.1807575757575783,0.981419823232322,9.913547348484851,17,baseline
32e9702f,6,29,6.130422616974341,0.6044169859514664,30.418321519795676,17,baseline
15696249,9,1,51.0735614027795,43.64575071704702,57.54613002452509,17,baseline
e66aafb8,10,43,1.336812570145908,0.27171436588102765,6.726801346801363,17,baseline
60c09cac,5,636,3.849728225652719,2.710265675624189,17.612367448065466,42,baseline
68b67ca3,10,633,4.4751799192557105,1.8261483715511857,9.16323217695647,42,baseline
195ba7dc,3,281,5.0062850729517425,0.6181818181818453,13.97418630751965,42,baseline
506d28a5,3,513,0.555892255892311,0.5558922558923108,1.5868686868686845,42,baseline
5d2a5c43,2,461,11.264730639730594,5.410774410774408,22.649831649831647,42,baseline
d19f7514,4,547,2.999368686868727,0.39867424242424054,24.049663299663266,42,baseline
e345f17b,5,561,0.7820707070707077,0.6505050505049793,1.8141414141414605,42,baseline
0c9aba6e,1,542,10.876683501683448,10.876683501683448,10.876683501683448,42,baseline
3194b014,10,467,0.38372615039287156,3.218588590092608e-13,2.876992143658774,42,baseline
7039b2d7,8,5,0.9654040404040394,0.3805555555555565,4.904987373737381,42,baseline
e0fb7511,7,615,1.7657641503795427,1.4144291605829897,3.119675836983561,42,baseline
070dd51e,9,503,6.812370262153262,4.503857726117986,20.301596758673636,42,baseline
66f2d22f,4,578,12.237463924963894,1.485840548340545,46.74314574314557,42,baseline
34b99a2b,1,7,45.39646464646465,45.39646464646465,45.39646464646465,42,baseline
e133d23d,6,381,2.8136924803591947,2.7814393939394666,2.9910213243546715,42,baseline
f0df5ff0,7,560,3.325201218534505,2.489363476030188,6.77587413820751,42,baseline
27f8ce4f,2,87,4.069647088165608,4.069647088165608,6.214365881032549,42,baseline
67b4a34d,4,437,1.8109217171717307,0.33238636363639673,13.66871843434342,42,baseline
9a4bb226,7,665,13.856052589385975,11.277606220939564,24.359525412858744,42,baseline
e66aafb8,10,319,1.3418620197094722,0.27983966273670247,7.5516135404902585,42,baseline
59341089,9,477,0.9903666292554886,0.5516468699338913,3.4028479236812843,42,baseline
be03b35f,7,394,1.6017654793035445,0.31100709780910746,7.254032300891484,42,baseline
833dafe3,9,149,2.0179332239245413,1.832820667996158,6.495165306883616,42,baseline
