meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,126
1,0.0,0.0,40,12554,1351
2,0.0025,0.0025,63,12554,4245
3,0.0025,0.0,91,12554,7127
4,0.005,0.0025,125,12554,9760
5,0.005,0.005,164,12554,12714
6,0.0075,0.0075,209,12554,15089
7,0.0075,0.005,259,12554,17157
8,0.0075,0.005,313,12554,19233
9,0.01,0.0075,371,12554,21227
10,0.01,0.005,432,12554,24357
11,0.0125,0.0075,500,12554,28567
12,0.02,0.0225,576,12554,33342
13,0.03,0.025,661,12554,38252
14,0.0375,0.0325,756,12554,43317
15,0.04,0.035,861,12554,47894
16,0.0475,0.0375,975,12554,52532
17,0.0475,0.035,1098,12554,57220
18,0.0475,0.0375,1230,12554,61495
19,0.0575,0.05,1370,12554,66091
20,0.0625,0.05,1519,12554,70854
21,0.0625,0.0325,1677,12554,75369
22,0.0625,0.0375,1844,12554,79761
23,0.0675,0.0475,2020,12554,84135
24,0.07,0.0375,2204,12554,88692
25,0.0725,0.0475,2397,12554,92994
26,0.0775,0.065,2593,12554,97148
27,0.0775,0.0475,2789,12554,101652
28,0.0775,0.055,2985,12554,105805
29,0.0775,0.06,3181,12554,110400
30,0.0775,0.055,3377,12554,114308
31,0.0825,0.06,3573,12554,118696
32,0.0825,0.0575,3769,12554,123311
33,0.085,0.0625,3965,12554,127673
34,0.085,0.0675,4161,12554,132043
35,0.085,0.0725,4357,12554,136463
36,0.0825,0.0725,4553,12554,140927
37,0.085,0.0825,4749,12554,145292
38,0.085,0.08,4945,12554,149805
39,0.085,0.07,5141,12554,154271
40,0.0875,0.0725,5337,12554,158729
41,0.09,0.085,5533,12554,163419
42,0.0925,0.085,5729,12554,167822
43,0.095,0.09,5925,12554,172404
44,0.0975,0.0925,6121,12554,176861
45,0.0975,0.0825,6317,12554,181505
46,0.1,0.09,6513,12554,186035
47,0.1025,0.09,6709,12554,190711
48,0.1025,0.0875,6905,12554,195292
49,0.105,0.0875,7101,12554,200025
50,0.1075,0.095,7297,12554,204433
51,0.1075,0.095,7493,12554,209192
52,0.1075,0.095,7689,12554,213945
53,0.1075,0.0925,7885,12554,218851
54,0.1075,0.105,8081,12554,223763
55,0.1075,0.105,8277,12554,228718
56,0.1075,0.1075,8473,12554,233907
57,0.1075,0.1075,8669,12554,238767
58,0.1075,0.105,8865,12554,243491
59,0.105,0.105,9061,12554,248634
60,0.105,0.1025,9257,12554,253591
61,0.1075,0.105,9453,12554,258886
62,0.1125,0.1075,9649,12554,264053
63,0.1125,0.1075,9845,12554,269151
64,0.1125,0.11,10041,12554,274032
65,0.1125,0.1125,10237,12554,278802
66,0.1125,0.1075,10433,12554,283753
67,0.1125,0.1075,10629,12554,288821
68,0.1125,0.11,10825,12554,293923
69,0.1125,0.1125,11021,12554,299040
70,0.115,0.1125,11217,12554,304264
71,0.115,0.105,11413,12554,309475
72,0.12,0.12,11609,12554,314707
73,0.12,0.1125,11805,12554,319921
74,0.12,0.1125,12001,12554,325074
75,0.12,0.115,12197,12554,330361
76,0.12,0.115,12393,12554,335548
77,0.1225,0.115,12589,12554,340687
78,0.12,0.1125,12785,12554,345954
79,0.12,0.1125,12981,12554,351095
80,0.1225,0.115,13177,12554,356476
81,0.1225,0.125,13373,12554,361860
82,0.125,0.115,13569,12554,367450
83,0.125,0.1175,13765,12554,372809
84,0.1275,0.125,13961,12554,378157
85,0.1275,0.1225,14157,12554,383496
86,0.1275,0.12,14353,12554,389054
87,0.125,0.125,14549,12554,394643
88,0.125,0.13,14745,12554,399987
89,0.125,0.13,14941,12554,405555
90,0.125,0.12,15137,12554,410943
91,0.1275,0.12,15333,12554,416606
92,0.1275,0.1225,15529,12554,422101
93,0.1275,0.1275,15725,12554,427600
94,0.1275,0.125,15921,12554,433347
95,0.125,0.125,16117,12554,438810
96,0.125,0.1275,16313,12554,444331
