seed,baseline_n_tasks,baseline_solve_rate,baseline_mean_dtw,baseline_median_dtw,baseline_wasserstein,method2_n_tasks,method2_solve_rate,method2_mean_dtw,method2_median_dtw,method2_wasserstein,delta_solve_rate,delta_mean_dtw,delta_median_dtw,delta_wasserstein,mw_u_stat,mw_p_value,per_task_mean_delta,tasks_improved,tasks_total_pertask
17,42,1.0,0.5153,0.5269,0.2039,37,1.0,0.5259,0.5341,0.2043,0.0,0.0107,0.0071,0.0004,95780608.5,0.0017,-0.0044,13,35
42,34,1.0,0.4924,0.4271,0.2023,33,1.0,0.4959,0.4271,0.2103,0.0,0.0035,0.0,0.008,75162813.5,0.5043,0.0119,12,29
123,40,1.0,0.5043,0.4306,0.2033,36,1.0,0.4926,0.4271,0.1993,0.0,-0.0117,-0.0036,-0.0041,87676244.0,0.9999,0.01,12,35
