condition,seed,n_tasks,dtw_mean,dtw_std,dtw_median,ci_width_mean
baseline,17,42,6.472220619007575,11.823469429875377,2.237634729726678,9.612279624492645
baseline,42,34,4.974066671150766,8.11560672330363,2.243311229289029,9.048930005332512
baseline,123,40,6.291519518351043,10.929105266144086,2.3193305811580367,9.192001434824286
method2,17,37,5.897191614047173,9.985735158198585,2.931397306397311,9.733619099692822
method2,42,33,3.127867303231418,3.0164300688013626,2.277050338778732,8.68393332326918
method2,123,36,4.621022114400424,7.584841769874414,2.23067903017004,9.884684241152046
