seed,baseline_cum_final,method2_cum_final,delta_cum,baseline_perf_final,method2_perf_final,delta_perf
17,0.1275,0.1175,-0.010000000000000009,0.1275,0.1125,-0.015
42,0.1075,0.115,0.007500000000000007,0.0975,0.1075,0.009999999999999995
123,0.1275,0.1125,-0.015,0.1175,0.1,-0.017499999999999988
