meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,194
1,0.0,0.0,40,12554,2674
2,0.0025,0.0025,65,12554,5055
3,0.0025,0.0,95,12554,7865
4,0.0025,0.0,130,12554,10404
5,0.005,0.005,170,12554,12385
6,0.0075,0.005,214,12554,14925
7,0.0125,0.0125,263,12554,18710
8,0.0175,0.0125,320,12554,24799
9,0.0275,0.0225,388,12554,29257
10,0.0375,0.02,465,12554,33716
11,0.0425,0.0225,551,12554,37785
12,0.0425,0.02,645,12554,42138
13,0.0525,0.0375,747,12554,46815
14,0.06,0.04,858,12554,51671
15,0.06,0.0425,979,12554,56428
16,0.06,0.045,1109,12554,61111
17,0.0575,0.05,1248,12554,65640
18,0.0625,0.045,1396,12554,70498
19,0.0625,0.045,1554,12554,74986
20,0.065,0.0475,1720,12554,79095
21,0.0675,0.05,1895,12554,83503
22,0.07,0.055,2078,12554,87791
23,0.07,0.0525,2269,12554,92281
24,0.0725,0.0575,2465,12554,96279
25,0.075,0.065,2661,12554,100043
26,0.08,0.065,2857,12554,104103
27,0.08,0.07,3053,12554,108205
28,0.08,0.0675,3249,12554,112705
29,0.0825,0.075,3445,12554,116926
30,0.0825,0.0725,3641,12554,120995
31,0.0825,0.0625,3837,12554,125302
32,0.085,0.0725,4033,12554,129306
33,0.085,0.0725,4229,12554,133950
34,0.0875,0.07,4425,12554,138182
35,0.0875,0.075,4621,12554,142509
36,0.0875,0.07,4817,12554,146766
37,0.0875,0.0725,5013,12554,151241
38,0.0875,0.0725,5209,12554,155533
39,0.0875,0.0725,5405,12554,160204
40,0.0875,0.0775,5601,12554,164378
41,0.0875,0.075,5797,12554,168732
42,0.09,0.0775,5993,12554,172906
43,0.09,0.0775,6189,12554,177185
44,0.095,0.0775,6385,12554,181010
45,0.0975,0.0775,6581,12554,185479
46,0.0975,0.0825,6777,12554,189792
47,0.0975,0.085,6973,12554,194290
48,0.0975,0.0825,7169,12554,198977
49,0.0975,0.0775,7365,12554,203265
50,0.1,0.0775,7561,12554,207970
51,0.1025,0.08,7757,12554,212318
52,0.1025,0.0825,7953,12554,216886
53,0.1025,0.08,8149,12554,221364
54,0.1025,0.08,8345,12554,225689
55,0.1025,0.075,8541,12554,230213
56,0.105,0.08,8737,12554,234720
57,0.105,0.0875,8933,12554,239221
58,0.105,0.09,9129,12554,243638
59,0.1075,0.085,9325,12554,248397
60,0.1075,0.0875,9521,12554,253079
61,0.105,0.08,9717,12554,257428
62,0.105,0.085,9913,12554,262207
63,0.105,0.08,10109,12554,267052
64,0.105,0.0925,10305,12554,272024
65,0.105,0.09,10501,12554,276684
66,0.105,0.09,10697,12554,281343
67,0.105,0.0875,10893,12554,286183
68,0.105,0.095,11089,12554,290824
69,0.1075,0.0975,11285,12554,295419
70,0.1075,0.09,11481,12554,299949
71,0.1075,0.095,11677,12554,304636
72,0.1075,0.0925,11873,12554,309475
73,0.1075,0.0925,12069,12554,314096
74,0.1075,0.095,12265,12554,318952
75,0.1075,0.095,12461,12554,323795
76,0.1075,0.095,12657,12554,328561
77,0.1075,0.095,12853,12554,333236
78,0.1075,0.1,13049,12554,338167
79,0.1075,0.0975,13245,12554,343205
80,0.1075,0.0975,13441,12554,347989
81,0.1075,0.0975,13637,12554,352926
82,0.1075,0.0975,13833,12554,357879
83,0.1075,0.095,14029,12554,362804
84,0.1075,0.0925,14225,12554,368003
85,0.1075,0.1,14421,12554,372838
86,0.1075,0.0975,14617,12554,377959
87,0.1075,0.1025,14813,12554,383134
88,0.1075,0.0925,15009,12554,388253
89,0.1075,0.1,15205,12554,393313
90,0.1075,0.1,15401,12554,398488
91,0.1075,0.0975,15597,12554,403656
92,0.1075,0.1,15793,12554,408948
93,0.1075,0.0975,15989,12554,414159
94,0.1075,0.095,16185,12554,419160
