meta_iteration,cumulative_performance,performance,step,num_mutated_tasks,num_policy_tasks
0,0.0,0.0,20,12554,209
1,0.0025,0.0025,40,12554,1572
2,0.0025,0.0,63,12554,3923
3,0.0025,0.0,91,12554,6820
4,0.0025,0.0,124,12554,10963
5,0.01,0.01,165,12554,14307
6,0.0125,0.01,213,12554,17537
7,0.0125,0.0075,267,12554,21347
8,0.015,0.01,329,12554,25361
9,0.0225,0.0175,399,12554,29801
10,0.025,0.0175,477,12554,34548
11,0.0325,0.0275,565,12554,39898
12,0.035,0.0275,663,12554,45266
13,0.0375,0.0125,771,12554,49821
14,0.045,0.0325,888,12554,54868
15,0.0475,0.03,1015,12554,59675
16,0.0475,0.035,1152,12554,64153
17,0.05,0.0425,1297,12554,68535
18,0.055,0.04,1451,12554,73014
19,0.0575,0.0525,1614,12554,77819
20,0.055,0.0425,1786,12554,82796
21,0.0575,0.05,1968,12554,87071
22,0.0625,0.055,2158,12554,91509
23,0.065,0.055,2354,12554,95940
24,0.0625,0.0475,2550,12554,100014
25,0.0625,0.06,2746,12554,104423
26,0.0625,0.0525,2942,12554,108610
27,0.065,0.055,3138,12554,112732
28,0.07,0.065,3334,12554,117245
29,0.0725,0.0675,3530,12554,121546
30,0.0725,0.055,3726,12554,125712
31,0.0725,0.055,3922,12554,129965
32,0.0725,0.0575,4118,12554,134029
33,0.0725,0.06,4314,12554,138006
34,0.0725,0.06,4510,12554,142355
35,0.0775,0.0725,4706,12554,146785
36,0.0775,0.0625,4902,12554,150792
37,0.075,0.0675,5098,12554,154892
38,0.075,0.0675,5294,12554,158788
39,0.0775,0.065,5490,12554,162675
40,0.0775,0.0675,5686,12554,166926
41,0.0775,0.0675,5882,12554,171141
42,0.08,0.075,6078,12554,175233
43,0.0825,0.0725,6274,12554,179254
44,0.0825,0.0725,6470,12554,183373
45,0.085,0.07,6666,12554,187657
46,0.0875,0.0775,6862,12554,192112
47,0.085,0.075,7058,12554,196293
48,0.085,0.08,7254,12554,200841
49,0.085,0.08,7450,12554,205184
50,0.0875,0.0825,7646,12554,209582
51,0.0875,0.075,7842,12554,214088
52,0.0925,0.0875,8038,12554,218680
53,0.0925,0.08,8234,12554,223122
54,0.0925,0.0825,8430,12554,227658
55,0.095,0.085,8626,12554,232271
56,0.095,0.0825,8822,12554,236644
57,0.095,0.09,9018,12554,241082
58,0.095,0.085,9214,12554,245469
59,0.095,0.0825,9410,12554,249775
60,0.095,0.0875,9606,12554,254298
61,0.095,0.09,9802,12554,258758
62,0.095,0.0925,9998,12554,263218
63,0.095,0.0925,10194,12554,267857
64,0.095,0.0925,10390,12554,272700
65,0.095,0.0875,10586,12554,277375
66,0.095,0.0975,10782,12554,282076
67,0.095,0.0925,10978,12554,286754
68,0.095,0.0925,11174,12554,291514
69,0.095,0.095,11370,12554,295972
70,0.0975,0.095,11566,12554,300557
71,0.1025,0.0975,11762,12554,305428
72,0.1025,0.0875,11958,12554,310306
73,0.105,0.095,12154,12554,315185
74,0.105,0.0975,12350,12554,319903
75,0.105,0.0975,12546,12554,324555
76,0.105,0.0975,12742,12554,329555
77,0.105,0.095,12938,12554,334494
78,0.105,0.09,13134,12554,339456
79,0.105,0.1025,13330,12554,344318
80,0.105,0.0975,13526,12554,349402
81,0.105,0.0975,13722,12554,354418
82,0.105,0.0975,13918,12554,359129
83,0.105,0.0975,14114,12554,364072
84,0.105,0.0925,14310,12554,369070
85,0.1075,0.1025,14506,12554,373990
86,0.11,0.0975,14702,12554,379198
87,0.11,0.1,14898,12554,384195
88,0.11,0.095,15094,12554,389263
89,0.11,0.105,15290,12554,394387
90,0.11,0.1,15486,12554,399296
91,0.11,0.1025,15682,12554,404261
92,0.1125,0.1,15878,12554,409278
93,0.1125,0.1,16074,12554,414177
