pair,seed,task_id,baseline_group,median_dtw_medians,allpairs_median
pair2,combined,68b67ca3,A,22.1157,22.1157
pair2,combined,6df30ad6,B,37.4075,37.9561
pair2,combined,6ea4a07e,A,34.3904,34.3477
pair2,combined,7039b2d7,A,0.0,0.0
pair2,combined,705a3229,B,12.1237,12.1237
pair2,combined,73c3b0d8,B,15.7996,20.875
pair2,combined,73ccf9c2,A,0.0,0.0
pair2,combined,7bb29440,A,0.0,0.0
pair2,combined,7d1f7ee8,B,361.525,361.525
pair2,combined,817e6c09,B,147.5634,147.5634
pair2,combined,833dafe3,A,6.7518,6.7518
pair2,combined,84db8fc4,B,20.1374,21.6246
pair2,combined,84f2aca1,B,206.9449,209.5949
pair2,combined,8597cfd7,A,0.0,0.0
pair2,combined,8e2edd66,A,52.7447,47.8478
pair2,combined,8fbca751,B,97.8405,100.5106
pair2,combined,90347967,B,7.2134,7.4939
pair2,combined,929ab4e9,B,51.8954,57.5419
pair2,combined,94133066,A,11.0051,11.0051
pair2,combined,99306f82,B,22.4819,22.4819
pair2,combined,9a4bb226,A,34.9988,34.9988
pair2,combined,a3f84088,B,36.2458,41.4651
pair2,combined,a59b95c0,A,0.0,0.0
pair2,combined,aa18de87,B,118.7067,124.1401
pair2,combined,ac3e2b04,B,38.0319,39.4456
pair2,combined,ad7e01d0,A,0.0,0.0
pair2,combined,ae58858e,B,14.0292,14.0292
pair2,combined,b7f8a4d8,B,204.0021,203.909
pair2,combined,b7fb29bc,B,94.946,99.0581
pair2,combined,bbb1b8b6,A,19.251,19.251
pair2,combined,bc4146bd,A,8.8296,9.0676
pair2,combined,be03b35f,A,14.3938,20.583
pair2,combined,c074846d,B,588.2063,591.4038
pair2,combined,c3202e5a,A,0.0,0.0
pair2,combined,c8b7cc0f,A,3.5292,17.6417
pair2,combined,ccd554ac,A,0.0,0.0
pair2,combined,cd3c21df,A,45.141,45.141
pair2,combined,d19f7514,A,17.8161,24.6512
pair2,combined,d2acf2cb,B,25.477,33.1017
pair2,combined,d37a1ef5,B,76.8627,76.8627
pair2,combined,d4b1c2b1,A,0.0,0.0
pair2,combined,d56f2372,A,0.0,0.0
pair2,combined,d5c634a2,A,19.9093,19.9093
pair2,combined,d931c21c,B,82.5053,82.5053
pair2,combined,da2b0fe3,B,215.5552,215.5552
pair2,combined,dd2401ed,B,5.8237,5.8824
pair2,combined,e133d23d,A,21.6694,27.3154
pair2,combined,e1baa8a4,A,0.0,0.0
pair2,combined,e2092e0c,B,60.9254,60.0
pair2,combined,e345f17b,A,14.118,17.4412
pair2,combined,e57337a4,A,20.5953,21.488
pair2,combined,e66aafb8,A,11.0243,10.2805
pair2,combined,e7639916,B,330.7627,330.7627
pair2,combined,e872b94a,A,0.0,0.0
pair2,combined,e9b4f6fc,A,57.7842,57.7842
pair2,combined,e9bb6954,B,45.695,117.8188
pair2,combined,ea9794b1,A,15.7962,23.1197
pair2,combined,ed74f2f2,A,12.7624,12.9739
pair2,combined,ed98d772,A,42.1126,41.8073
pair2,combined,f0afb749,A,27.1342,35.0845
pair2,combined,f0df5ff0,B,34.7838,36.512
pair2,combined,f3e62deb,B,11.0165,20.625
pair2,combined,f4081712,A,9.9858,9.9858
pair2,combined,f5aa3634,A,0.0,0.0
pair2,combined,fc754716,B,14.9828,14.9828
pair2,combined,ff72ca3e,B,32.2227,82.9024
