pair,baseline_group,n,median_DTW,p_raw,p_adj_BH
pair1,A,52,18.7985,0.0,0.0
pair1,B,17,44.7322,8e-06,9e-06
pair2,A,62,11.7714,0.0,0.0
pair2,B,59,59.4727,0.0,0.0
pair3,A,122,43.4656,0.0,0.0
pair3,B,251,82.6616,0.0,0.0
pair4,A,49,9.8732,0.0,0.0
pair4,B,14,27.0706,6.1e-05,6.1e-05
