task_id,pair,group1,group2,baseline_group,dtw_median_curves,dtw_ci_lo,dtw_ci_hi,l2_median_curves
e1d2900e,pair3,human_success,human_failed,B,4134.169,,,427.1837
e2092e0c,pair2,human_failed,codeit_failed,B,60.9254,41.093,253.3334,6.9628
e2092e0c,pair3,human_success,human_failed,B,182.8484,,,29.7593
e21a174a,pair3,human_success,human_failed,B,47.3774,,,5.6288
e345f17b,pair1,human_success,codeit_success,A,15.0588,6.7779,24.854,3.3684
e345f17b,pair2,human_failed,codeit_failed,A,14.1175,,,2.2454
e345f17b,pair3,human_success,human_failed,A,19.5286,,,3.3391
e345f17b,pair4,codeit_success,codeit_failed,A,17.8322,,,2.7634
e4075551,pair3,human_success,human_failed,B,287.5443,,,31.275
e41c6fd3,pair3,human_success,human_failed,B,73.7673,60.1877,220.0831,9.0562
e57337a4,pair2,human_failed,codeit_failed,A,20.5956,,,2.8821
e57337a4,pair3,human_success,human_failed,A,15.1488,,,2.2868
e5790162,pair3,human_success,human_failed,B,87.3983,33.8038,477.9851,12.611
e5c44e8f,pair3,human_success,human_failed,B,351.2124,207.7561,1966.5854,47.5261
e619ca6e,pair3,human_success,human_failed,B,136.7464,,,18.8678
e633a9e5,pair3,human_success,human_failed,A,12.5052,,,1.884
e66aafb8,pair1,human_success,codeit_success,A,25.25,22.8735,34.1614,4.191
e66aafb8,pair2,human_failed,codeit_failed,A,11.0243,,,2.0888
e66aafb8,pair3,human_success,human_failed,A,32.4617,,,4.2205
e66aafb8,pair4,codeit_success,codeit_failed,A,0.5792,,,0.3314
e681b708,pair3,human_success,human_failed,B,88.3235,,,16.0198
e69241bd,pair3,human_success,human_failed,B,112.2119,,,13.9279
e6de6e8f,pair3,human_success,human_failed,A,13.473,,,2.9198
e74e1818,pair3,human_success,human_failed,B,17.4385,,,3.4258
e760a62e,pair3,human_success,human_failed,B,125.5212,,,14.3511
e7639916,pair1,human_success,codeit_success,B,99.4416,82.5246,129.3325,14.5964
e7639916,pair2,human_failed,codeit_failed,B,330.7627,,,37.0586
e7639916,pair3,human_success,human_failed,B,413.5568,,,45.0272
e7639916,pair4,codeit_success,codeit_failed,B,82.0085,,,11.2763
