task_id,pair,group1,group2,baseline_group,dtw_median_curves,dtw_ci_lo,dtw_ci_hi,l2_median_curves
60c09cac,pair3,human_success,human_failed,A,56.5157,,,6.1819
60c09cac,pair4,codeit_success,codeit_failed,A,1.582,,,1.0474
626c0bcc,pair3,human_success,human_failed,B,45.0453,,,7.2509
62ab2642,pair1,human_success,codeit_success,B,63.9666,31.4524,102.938,10.7129
62ab2642,pair2,human_failed,codeit_failed,B,125.5114,,,13.7184
62ab2642,pair3,human_success,human_failed,B,90.1091,,,11.3755
62ab2642,pair4,codeit_success,codeit_failed,B,39.7052,,,5.5016
62b74c02,pair3,human_success,human_failed,B,58.7955,,,7.2621
639f5a19,pair3,human_success,human_failed,B,57.631,45.653,129.0238,6.7426
642248e4,pair3,human_success,human_failed,B,191.4447,,,47.6465
642d658d,pair1,human_success,codeit_success,A,4.5957,1.4847,7.4347,2.0309
642d658d,pair2,human_failed,codeit_failed,A,0.0,,,0.0
642d658d,pair3,human_success,human_failed,A,12.8788,,,2.9592
642d658d,pair4,codeit_success,codeit_failed,A,25.2525,,,4.1236
64a7c07e,pair2,human_failed,codeit_failed,B,8.5757,,,1.2171
64a7c07e,pair3,human_success,human_failed,B,57.3682,,,6.1542
66e6c45b,pair3,human_success,human_failed,B,94.9752,,,11.126
66f2d22f,pair1,human_success,codeit_success,A,34.3283,,,5.173
66f2d22f,pair3,human_success,human_failed,A,70.9006,,,7.7599
67636eac,pair3,human_success,human_failed,A,51.6442,,,5.9658
67b4a34d,pair1,human_success,codeit_success,A,10.9897,,,2.5142
67b4a34d,pair2,human_failed,codeit_failed,A,24.0648,,,2.8591
67b4a34d,pair3,human_success,human_failed,A,33.5994,,,4.5728
67b4a34d,pair4,codeit_success,codeit_failed,A,15.9401,,,2.6574
67c52801,pair3,human_success,human_failed,B,181.3113,,,19.7714
68b67ca3,pair1,human_success,codeit_success,A,28.6169,22.6054,34.3666,4.2655
68b67ca3,pair2,human_failed,codeit_failed,A,22.1157,,,3.5901
68b67ca3,pair3,human_success,human_failed,A,54.8704,,,6.1182
68b67ca3,pair4,codeit_success,codeit_failed,A,1.9774,,,1.1489
695367ec,pair3,human_success,human_failed,A,47.5747,,,5.274
696d4842,pair3,human_success,human_failed,B,175.9914,,,52.99
69889d6e,pair3,human_success,human_failed,B,45.6012,,,12.5779
6a11f6da,pair3,human_success,human_failed,A,8.6357,4.7185,24.0863,1.7681
6ad5bdfd,pair3,human_success,human_failed,B,103.3987,,,11.6294
6df30ad6,pair1,human_success,codeit_success,B,18.3551,4.0928,47.3355,4.1105
6df30ad6,pair2,human_failed,codeit_failed,B,37.4075,,,6.3815
6df30ad6,pair3,human_success,human_failed,B,66.6646,,,8.8311
6df30ad6,pair4,codeit_success,codeit_failed,B,13.5539,,,2.3757
6ea4a07e,pair1,human_success,codeit_success,A,1.9236,1.6044,2.3633,0.576
6ea4a07e,pair2,human_failed,codeit_failed,A,34.3897,,,3.8463
6ea4a07e,pair3,human_success,human_failed,A,52.2088,,,5.7549
6ea4a07e,pair4,codeit_success,codeit_failed,A,17.5999,,,2.4824
6f473927,pair3,human_success,human_failed,A,50.9773,,,5.4
7039b2d7,pair1,human_success,codeit_success,A,0.6225,0.0,18.2195,0.6872
7039b2d7,pair2,human_failed,codeit_failed,A,0.0,,,0.0
7039b2d7,pair3,human_success,human_failed,A,21.245,,,3.7379
7039b2d7,pair4,codeit_success,codeit_failed,A,17.0,,,3.392
705a3229,pair2,human_failed,codeit_failed,B,12.1237,,,1.7182
705a3229,pair3,human_success,human_failed,B,83.8354,,,13.9557
712bf12e,pair3,human_success,human_failed,B,82.796,,,10.1347
72207abc,pair3,human_success,human_failed,B,140.7214,41.0,1378.5779,35.3378
72a961c9,pair3,human_success,human_failed,B,68.3082,,,15.1173
73182012,pair3,human_success,human_failed,A,51.2255,,,5.9527
73c3b0d8,pair2,human_failed,codeit_failed,B,15.7996,10.7901,106.25,1.8376
73c3b0d8,pair3,human_success,human_failed,B,152.2895,,,28.832
73ccf9c2,pair2,human_failed,codeit_failed,A,0.0,0.0,0.0,0.0
73ccf9c2,pair3,human_success,human_failed,A,57.5739,21.3633,59.955,6.4363
759f3fd3,pair3,human_success,human_failed,B,20.7364,,,3.1108
762cd429,pair3,human_success,human_failed,B,23.0994,,,2.8814
770cc55f,pair3,human_success,human_failed,B,96.2963,,,13.5267
782b5218,pair3,human_success,human_failed,B,92.9141,,,10.7145
79369cc6,pair3,human_success,human_failed,B,111.0387,,,23.3639
7953d61e,pair1,human_success,codeit_success,A,42.6879,,,5.7079
7953d61e,pair3,human_success,human_failed,A,22.8347,,,2.9099
7bb29440,pair1,human_success,codeit_success,A,10.0273,3.9445,30.146,2.8937
7bb29440,pair2,human_failed,codeit_failed,A,0.0,,,0.0
7bb29440,pair3,human_success,human_failed,A,36.13,,,5.4483
7bb29440,pair4,codeit_success,codeit_failed,A,46.2274,,,5.6702
7c8af763,pair3,human_success,human_failed,B,38.2365,,,4.8125
7c9b52a0,pair3,human_success,human_failed,A,50.8493,,,5.8433
7d18a6fb,pair3,human_success,human_failed,A,66.4076,,,7.1297
7d1f7ee8,pair2,human_failed,codeit_failed,B,361.525,,,40.5813
7d1f7ee8,pair3,human_success,human_failed,B,482.7727,,,53.589
7d419a02,pair3,human_success,human_failed,B,65.4424,,,6.9505
7e02026e,pair3,human_success,human_failed,B,63.4856,,,13.4342
7ee1c6ea,pair3,human_success,human_failed,B,79.7853,,,9.3723
817e6c09,pair2,human_failed,codeit_failed,B,147.5634,,,20.0243
817e6c09,pair3,human_success,human_failed,B,85.7154,,,10.2401
833dafe3,pair1,human_success,codeit_success,A,59.6795,54.6862,64.3453,7.2774
833dafe3,pair2,human_failed,codeit_failed,A,6.7518,,,2.0382
833dafe3,pair3,human_success,human_failed,A,75.8759,,,7.8397
833dafe3,pair4,codeit_success,codeit_failed,A,0.3989,,,0.2493
845d6e51,pair3,human_success,human_failed,B,62.4747,,,10.0843
84db8fc4,pair1,human_success,codeit_success,B,44.7322,,,6.3281
84db8fc4,pair2,human_failed,codeit_failed,B,20.1376,,,2.4521
84db8fc4,pair3,human_success,human_failed,B,41.6612,,,5.2776
84db8fc4,pair4,codeit_success,codeit_failed,B,17.2056,,,2.7295
84f2aca1,pair1,human_success,codeit_success,B,237.7975,6.5073,237.7975,58.2535
84f2aca1,pair2,human_failed,codeit_failed,B,206.9448,,,24.3995
84f2aca1,pair3,human_success,human_failed,B,450.3756,,,62.9252
84f2aca1,pair4,codeit_success,codeit_failed,B,34.2022,,,4.2038
8597cfd7,pair1,human_success,codeit_success,A,0.2827,0.0,6.6671,0.5427
8597cfd7,pair2,human_failed,codeit_failed,A,0.0,,,0.0
8597cfd7,pair3,human_success,human_failed,A,28.7879,,,4.4
