pair,baseline_group,n,median_r,p_raw,p_adj_BH
pair1,A,52,0.7491,0.0,0.0
pair1,B,17,0.5862,8e-06,1.3e-05
pair2,A,28,0.5893,0.0,0.0
pair2,B,56,0.0476,0.079698,0.091083
pair3,A,56,0.84,0.0,0.0
pair3,B,247,-0.3465,0.909635,0.909635
pair4,A,35,0.9369,0.0,0.0
pair4,B,14,0.7644,0.000305,0.000407
