baseline_group,n_tasks,rho,ci_lo_95,ci_hi_95,p_raw,p_adj_BH
A,52,-0.0764,-0.3186,0.1805,0.590592,0.786327
B,17,0.0711,-0.4344,0.5494,0.786327,0.786327
