task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit,len_human
59341089,pair1,3,A,3.9444,5.2778,165,17
59341089,pair1,4,A,5.6667,5.9444,165,33
59341089,pair1,5,A,30.9444,32.7222,165,115
59341089,pair1,6,A,17.75,24.0833,165,64
59341089,pair1,7,A,5.9444,6.5556,165,35
59341089,pair1,8,A,12.0,13.1667,165,114
5d2a5c43,pair1,0,A,1.0417,1.5625,206,15
5d2a5c43,pair1,1,A,8.375,11.9583,206,62
60c09cac,pair1,0,A,4.71,4.71,24,35
60c09cac,pair1,1,A,7.14,7.14,24,43
60c09cac,pair1,2,A,6.3,6.3,24,39
60c09cac,pair1,3,A,3.9,3.9,24,5
60c09cac,pair1,4,A,4.78,4.78,24,45
62ab2642,pair1,0,B,6.1667,6.1667,1,14
62ab2642,pair1,1,B,5.25,5.25,1,5
62ab2642,pair1,2,B,39.4167,39.4167,1,41
62ab2642,pair1,3,B,6.1667,6.1667,1,16
642d658d,pair1,0,A,1.0,1.0,11,9
66f2d22f,pair1,0,A,1.5357,1.5357,141,18
66f2d22f,pair1,1,A,1.1786,1.1786,141,14
67b4a34d,pair1,0,A,3.4375,4.8125,212,25
67b4a34d,pair1,1,A,3.25,4.0,212,20
67b4a34d,pair1,2,A,1.8125,2.5625,212,6
67b4a34d,pair1,3,A,3.4375,4.1875,212,24
68b67ca3,pair1,0,A,0.2222,0.2222,15,22
68b67ca3,pair1,1,A,1.8889,2.2222,15,8
68b67ca3,pair1,2,A,2.5556,3.1111,15,12
68b67ca3,pair1,3,A,1.8889,2.2222,15,8
68b67ca3,pair1,4,A,2.5556,3.4444,15,15
68b67ca3,pair1,5,A,1.8889,2.2222,15,8
68b67ca3,pair1,6,A,1.8889,2.2222,15,8
68b67ca3,pair1,7,A,1.4444,2.8889,15,5
68b67ca3,pair1,8,A,1.8889,2.2222,15,8
6df30ad6,pair1,0,B,4.44,7.44,77,15
6df30ad6,pair1,1,B,4.44,7.44,77,15
6df30ad6,pair1,2,B,5.2,5.4,77,36
6df30ad6,pair1,3,B,4.44,7.44,77,15
6df30ad6,pair1,4,B,5.88,6.12,77,27
6df30ad6,pair1,5,B,1.96,2.48,77,13
6df30ad6,pair1,6,B,1.96,2.48,77,13
6df30ad6,pair1,7,B,4.56,7.56,77,17
6df30ad6,pair1,8,B,3.48,6.48,77,7
6df30ad6,pair1,9,B,4.44,7.44,77,27
6ea4a07e,pair1,0,A,1.0,1.1111,38,5
6ea4a07e,pair1,1,A,1.0,1.1111,38,5
6ea4a07e,pair1,2,A,1.0,1.1111,38,5
6ea4a07e,pair1,3,A,1.0,1.1111,38,5
6ea4a07e,pair1,4,A,1.7778,1.7778,38,11
6ea4a07e,pair1,5,A,1.6667,1.7778,38,11
6ea4a07e,pair1,6,A,1.0,1.1111,38,5
6ea4a07e,pair1,7,A,1.0,1.1111,38,5
7953d61e,pair1,0,A,9.5938,9.5938,51,40
7953d61e,pair1,1,A,17.3906,17.3906,51,59
7953d61e,pair1,2,A,14.125,14.125,51,51
7bb29440,pair1,0,A,2.8333,2.8333,2,13
7bb29440,pair1,1,A,6.0833,6.0833,2,28
7bb29440,pair1,2,A,1.2917,1.2917,2,70
7bb29440,pair1,3,A,1.125,1.125,2,9
7bb29440,pair1,4,A,1.0417,1.0417,2,6
833dafe3,pair1,0,A,17.6562,27.9375,270,90
833dafe3,pair1,1,A,26.1172,30.5234,270,155
833dafe3,pair1,2,A,24.207,28.3164,270,155
833dafe3,pair1,3,A,15.7617,15.7617,270,98
833dafe3,pair1,4,A,36.8711,41.0742,270,200
833dafe3,pair1,5,A,3.9766,7.7656,270,13
833dafe3,pair1,6,A,6.6641,7.3203,270,34
833dafe3,pair1,7,A,16.4609,16.4688,270,100
833dafe3,pair1,8,A,30.3164,43.9805,270,168
84db8fc4,pair1,0,B,42.5429,72.9429,23,105
8597cfd7,pair1,0,A,1.0,1.5,29,5
8597cfd7,pair1,1,A,1.0,1.0,29,49
8597cfd7,pair1,2,A,1.0,1.5,29,5
8597cfd7,pair1,3,A,1.0,1.0,29,7
8597cfd7,pair1,4,A,1.0,1.5,29,5
8597cfd7,pair1,5,A,1.0,1.5,29,5
8597cfd7,pair1,6,A,1.0,1.0,29,7
8597cfd7,pair1,7,A,1.0,1.5,29,5
8e2edd66,pair1,0,A,2.5802,3.0864,27,29
8e2edd66,pair1,1,A,5.4815,7.0123,27,18
8e2edd66,pair1,2,A,7.2346,7.5926,27,69
8e2edd66,pair1,3,A,7.0864,8.8395,27,52
929ab4e9,pair1,0,B,162.7263,4291.7023,42,305
929ab4e9,pair1,1,B,19.7272,23.212,42,49
94133066,pair1,0,A,0.4538,1.3154,5,27
94133066,pair1,1,A,0.7462,1.9308,5,30
9a4bb226,pair1,0,A,2.8889,2.8889,8,12
9a4bb226,pair1,1,A,0.8889,1.1111,8,5
9a4bb226,pair1,2,A,2.2222,2.2222,8,11
9a4bb226,pair1,3,A,2.5556,2.5556,8,11
9a4bb226,pair1,4,A,2.2222,2.2222,8,10
9a4bb226,pair1,5,A,2.2222,2.2222,8,10
a59b95c0,pair1,0,A,4.0,4.0,1,19
a59b95c0,pair1,1,A,2.125,2.125,1,6
a59b95c0,pair1,2,A,37.0972,37.0972,1,157
a59b95c0,pair1,3,A,36.8611,36.8611,1,151
a59b95c0,pair1,4,A,14.1319,14.1319,1,66
a59b95c0,pair1,5,A,4.0,4.0,1,19
a59b95c0,pair1,6,A,1.375,1.375,1,10
aa18de87,pair1,0,B,7.7692,10.2308,73,26
aa18de87,pair1,1,B,3.6923,6.5385,73,9
aa18de87,pair1,2,B,4.5385,6.6154,73,13
aa18de87,pair1,3,B,5.0,6.7692,73,15
aa18de87,pair1,4,B,5.0,6.7692,73,15
aa18de87,pair1,5,B,3.2308,6.0769,73,14
bbb1b8b6,pair1,0,A,2.0,2.0,7,19
bbb1b8b6,pair1,1,A,1.1875,1.1875,7,13
bbb1b8b6,pair1,2,A,1.0,1.0,7,12
bbb1b8b6,pair1,3,A,1.0,1.0,7,11
bbb1b8b6,pair1,4,A,2.0,2.0,7,19
bbb1b8b6,pair1,5,A,2.0,2.0,7,21
bbb1b8b6,pair1,6,A,2.0,2.0,7,19
bbb1b8b6,pair1,7,A,2.0,2.0,7,21
bbb1b8b6,pair1,8,A,2.0,2.0,7,21
bc4146bd,pair1,0,A,6.1125,6.1125,138,31
bc4146bd,pair1,1,A,6.15,11.8875,138,29
bc4146bd,pair1,2,A,13.8375,13.8375,138,64
bc4146bd,pair1,3,A,7.0125,7.0125,138,35
bc4146bd,pair1,4,A,5.9875,5.9875,138,27
be03b35f,pair1,0,A,0.5,1.0,275,6
